 ,Label,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height
570,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0104-0225,844,8.130,1.719,3,13,210,90,30,29
571,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0105-0255,872,7.769,2.164,2,14,240,90,30,30
572,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0105-0285,900,7.530,2.058,4,14,270,90,30,30
573,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0105-0315,900,7.408,2.000,2,13,300,90,30,30
574,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0105-0345,900,6.969,2.036,2,13,330,90,30,30
575,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0105-0375,900,7.268,2.015,2,14,360,90,30,30
576,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0105-0405,900,6.883,2.017,2,13,390,90,30,30
577,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0105-0435,900,8.001,1.992,2,13,420,90,30,30
578,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0105-0465,900,7.408,2.051,3,15,450,90,30,30
579,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0105-0495,900,8.217,1.907,3,14,480,90,30,30
580,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0105-0525,900,8.846,2.076,4,19,510,90,30,30
581,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0105-0555,900,7.541,2.128,3,15,540,90,30,30
582,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0105-0585,900,7.038,1.857,3,13,570,90,30,30
583,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0105-0615,900,8.054,1.978,3,14,600,90,30,30
584,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0105-0645,875,7.448,2.112,3,16,630,90,30,30
585,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0104-0675,791,6.975,1.910,3,15,660,90,30,28
586,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0102-0705,707,8.219,1.957,3,15,690,90,30,25
587,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0101-0735,622,8.476,1.954,3,14,720,90,30,22
588,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0099-0765,518,8.633,2.157,3,14,750,90,30,19
589,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0097-0795,405,9.072,2.268,4,16,780,90,30,15
590,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0096-0825,292,8.226,2.111,4,14,810,90,30,12
591,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0094-0855,184,9.397,2.163,5,14,840,90,30,8
592,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0092-0885,72,9.028,1.831,6,14,870,90,30,4
593,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0099-1155,259,5.490,1.852,2,11,1141,90,29,18
594,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0101-1185,637,6.876,2.193,1,13,1170,90,30,23
595,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0103-1215,749,7.200,1.872,3,13,1200,90,30,26
596,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0104-1245,826,7.185,1.995,2,13,1230,90,30,29
597,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0100-1269,146,6.685,1.765,3,12,1260,90,18,21
598,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0120-0326,7,7.143,1.574,5,9,323,120,7,1
599,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0120-0345,30,7.533,2.013,4,10,330,120,30,1
600,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0120-0375,30,6.933,2.050,3,10,360,120,30,1
601,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0121-0405,50,6.620,1.469,3,9,390,120,30,2
602,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0121-0435,60,6.983,1.712,4,11,420,120,30,2
603,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0121-0465,62,6.274,1.549,3,9,450,120,30,3
604,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0121-0495,90,7.300,2.456,3,13,480,120,30,3
605,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0121-0525,90,8.844,1.913,4,12,510,120,30,3
606,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0122-0555,105,7.695,2.171,3,11,540,120,30,4
607,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0122-0585,119,6.933,2.032,3,11,570,120,30,4
608,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0121-0615,61,8.984,2.849,4,16,600,120,30,3
609,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:0120-0630,1,7.000,0.000,7,7,630,120,1,1
610,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk3.mCherry.BandC.jpg:Background,900,6.789,2.001,1,13,250,25,30,30
611,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:Body,66045,7.517,2.582,0,23,178,0,1147,90
612,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0029-0386,7,11.429,1.512,9,13,383,29,7,1
613,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0028-0405,75,8.947,2.211,5,16,390,26,30,4
614,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0027-0435,153,8.503,1.807,4,13,420,24,30,6
615,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0025-0465,235,8.200,2.094,3,13,450,21,30,9
616,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0024-0495,314,7.328,1.914,3,12,480,18,30,12
617,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0023-0525,393,8.415,2.050,4,14,510,16,30,14
618,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0021-0555,474,8.432,2.328,3,15,540,13,30,17
619,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0020-0585,551,7.931,2.388,2,13,570,10,30,20
620,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0019-0615,625,7.506,2.275,1,16,600,8,30,22
621,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0018-0645,696,7.885,2.570,2,15,630,6,30,24
622,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0016-0675,770,7.532,2.347,3,14,660,3,30,27
623,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0015-0705,841,6.919,2.395,1,14,690,1,30,29
624,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0015-0735,897,7.031,2.299,1,15,720,0,30,30
625,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0015-0765,900,7.271,2.187,2,13,750,0,30,30
626,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0015-0795,900,8.538,2.205,2,14,780,0,30,30
627,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0015-0825,900,7.660,2.684,2,15,810,0,30,30
628,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0015-0855,900,7.486,2.590,2,14,840,0,30,30
629,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0015-0885,900,8.329,2.890,1,16,870,0,30,30
630,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0015-0915,900,8.436,2.714,2,17,900,0,30,30
631,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0015-0945,900,7.739,2.640,1,17,930,0,30,30
632,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0015-0975,900,8.421,2.846,2,18,960,0,30,30
633,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0015-1005,900,7.720,2.616,0,15,990,0,30,30
634,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0015-1035,900,7.073,2.259,1,15,1020,0,30,30
635,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0015-1065,900,7.820,3.190,1,18,1050,0,30,30
636,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0015-1095,900,7.347,2.822,0,15,1080,0,30,30
637,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0015-1125,852,6.590,2.345,0,15,1110,0,30,30
638,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0015-1155,862,6.356,2.439,1,13,1140,0,30,30
639,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0015-1185,733,6.259,1.946,1,12,1170,0,30,30
640,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0019-1215,555,7.472,2.082,3,13,1200,9,30,21
641,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0022-1241,183,8.978,1.657,5,14,1230,14,22,16
642,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0029-1266,9,8.333,1.000,7,10,1263,28,7,2
643,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0048-0179,9,8.000,2.000,6,11,178,45,2,7
644,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0048-0195,583,7.750,1.852,4,15,180,37,30,23
645,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0047-0225,770,6.458,1.807,2,12,210,34,30,26
646,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0047-0255,780,5.813,2.085,1,13,240,34,30,26
647,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0046-0285,799,6.726,2.398,1,13,270,33,30,27
648,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0046-0315,810,7.317,2.209,2,14,300,33,30,27
649,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0046-0345,821,7.502,2.006,3,14,330,32,30,28
650,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0045-0375,889,8.317,2.043,3,16,360,30,30,30
651,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0045-0405,900,8.013,2.238,3,15,390,30,30,30
652,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0045-0435,900,6.479,1.947,2,12,420,30,30,30
653,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0045-0465,900,6.698,2.094,2,13,450,30,30,30
654,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0045-0495,900,6.470,2.057,3,14,480,30,30,30
655,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0045-0525,900,7.724,1.984,3,14,510,30,30,30
656,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0045-0555,900,7.574,2.214,2,15,540,30,30,30
657,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0045-0585,900,7.477,2.010,3,14,570,30,30,30
658,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0045-0615,900,7.286,2.448,2,16,600,30,30,30
659,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0045-0645,900,7.912,2.591,1,15,630,30,30,30
660,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0045-0675,900,7.448,2.035,3,13,660,30,30,30
661,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0045-0705,900,6.447,1.857,3,12,690,30,30,30
662,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0045-0735,900,6.679,2.225,2,15,720,30,30,30
663,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0045-0765,900,6.650,2.079,2,12,750,30,30,30
664,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0045-0795,900,8.702,2.441,1,16,780,30,30,30
665,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0045-0825,900,8.704,2.471,2,16,810,30,30,30
666,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0045-0855,900,7.514,2.552,2,17,840,30,30,30
667,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0045-0885,900,7.933,2.649,2,16,870,30,30,30
668,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0045-0915,900,8.426,2.557,1,17,900,30,30,30
669,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0045-0945,900,8.674,2.774,1,19,930,30,30,30
670,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0045-0975,900,9.383,2.299,2,17,960,30,30,30
671,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0045-1005,900,7.507,2.318,1,14,990,30,30,30
672,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0045-1035,834,6.707,2.051,1,14,1020,30,30,30
673,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0043-1065,635,9.112,3.750,1,23,1050,30,30,26
674,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0037-1095,204,14.461,3.380,6,21,1080,30,30,14
675,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0030-1110,1,6.000,0.000,6,6,1110,30,1,1
676,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0034-1164,46,4.978,1.807,2,10,1158,30,12,8
677,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0043-1185,584,7.558,2.598,2,14,1170,30,30,27
678,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0045-1215,840,6.601,3.218,1,17,1200,30,30,30
679,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0045-1245,850,6.286,2.642,0,14,1230,30,30,30
680,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0045-1275,603,6.111,2.069,2,12,1260,30,30,30
681,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0052-1305,242,5.822,2.114,1,12,1290,45,30,15
682,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0058-1321,9,6.889,1.453,5,10,1320,56,3,4
683,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0066-0195,332,7.883,2.061,3,15,181,60,29,13
684,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0065-0225,302,6.556,2.009,3,13,210,60,30,11
685,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0064-0255,258,6.632,2.027,3,13,240,60,30,9
686,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0066-0285,327,7.275,2.295,3,14,270,60,30,12
687,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0067-0315,408,7.794,1.971,3,13,300,60,30,15
688,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0069-0345,489,7.699,2.249,3,14,330,60,30,18
689,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0070-0375,571,6.937,2.038,2,16,360,60,30,20
690,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0071-0405,647,5.935,2.406,1,14,390,60,30,22
691,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0071-0435,689,6.135,2.432,1,12,420,60,30,23
692,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0072-0465,722,6.327,2.113,2,12,450,60,30,25
693,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0073-0495,753,7.020,2.186,1,14,480,60,30,26
694,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0073-0525,785,7.708,2.090,2,14,510,60,30,27
695,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0074-0555,816,7.469,2.409,2,14,540,60,30,28
696,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0074-0585,848,7.232,2.265,2,15,570,60,30,29
697,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0075-0615,879,7.829,2.343,2,13,600,60,30,30
698,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0075-0645,893,9.181,2.632,2,16,630,60,30,30
699,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0074-0675,868,8.097,2.362,3,14,660,60,30,29
700,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0074-0705,840,7.717,2.357,2,15,690,60,30,28
701,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0074-0735,724,7.851,2.219,2,15,720,60,30,28
702,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0072-0765,606,6.924,2.174,1,13,750,60,30,24
703,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0069-0795,544,9.610,2.382,3,16,780,60,30,19
704,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0068-0825,493,9.333,2.613,3,16,810,60,30,17
705,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0067-0855,437,8.689,2.816,1,15,840,60,30,15
706,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0067-0885,386,9.205,2.587,3,15,870,60,30,14
707,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0066-0915,337,8.412,2.919,1,16,900,60,30,12
708,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0065-0945,262,7.656,2.304,2,12,930,60,30,10
709,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0063-0975,155,10.071,2.026,4,15,960,60,30,7
710,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0061-1001,45,6.178,1.642,3,9,990,60,23,3
711,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0063-1225,33,11.121,1.269,9,14,1220,60,10,7
712,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk2.mCherry.BandC.jpg:0067-1245,341,8.484,3.704,1,17,1230,60,30,15
