 ,Label,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height
33,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0055-1130,163,8.663,1.916,4,12,1120,51,20,9
34,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0056-1150,110,6.218,1.650,3,10,1140,52,20,8
35,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0056-1170,106,7.802,2.016,4,14,1160,52,20,8
36,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0059-1182,6,5.667,1.633,4,8,1180,58,5,2
37,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0079-0477,6,7.667,3.502,4,12,474,79,6,1
38,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0079-0490,33,6.939,2.304,2,10,480,78,20,2
39,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0078-0510,65,6.323,1.511,4,9,500,76,20,4
40,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0077-0530,94,6.734,1.686,4,10,520,74,20,6
41,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0076-0550,129,6.752,2.398,3,16,540,73,20,7
42,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0075-0570,162,6.235,2.315,2,13,560,71,20,9
43,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0074-0590,194,5.273,2.087,2,13,580,69,20,11
